功能,功能点,描述,涉及端,优先级,需求状态,备注,父记录,设计文档,原型文档,功能模块
用户注册与登陆,微信一键登陆,登录获取用户手机号、微信头像和昵称,小程序,P0,未开始,,,,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk,其他
活动主页,轮播Banner位,支持跳转链接,小程序,P1,未开始,跳转地址: https://mp.weixin.qq.com/s/DeJ38RyOILq5hPAz5jrVUQ,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动主页,往期回顾,跳转到MIP小程序的视频号,小程序,P1,未开始,小程序接入视频号方法: https://developers.weixin.qq.com/miniprogram/dev/platform-capabilities/business-capabilities/ministore/minishopopencomponent2/scene/shipinhao.html,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动主页,筛选条件,活动状态区分(近期活动/已结束),小程序,P0,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动主页,搜索,支持根据标题模糊搜索活动,小程序,P1,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动主页,活动列表,活动卡片: 展示封面、活动基础信息,小程序,P0,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动详情页,基础信息,活动信息、活动介绍、主办方、报名须知等,小程序,P0,未开始,@Ame 提供主办方介绍、报名须知,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动详情页,详细信息,"活动介绍、主办方、报名须知, 支持创建活动时编辑上传图文介绍",小程序,P0,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动详情页,联系方式,写固定电话号码: 13798316515,小程序,P1,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动详情页,分享活动,支持分享链接、小程序、二维码、文案,小程序,P0,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动详情页,活动报名,登录判断、新用户登陆后填完个人信息返回活动详情页,小程序,P0,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动详情页,活动签到码,"生成活动后提供一个可下载的二维码, 让参与者扫码签到",小程序,P0,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动详情页,活动反馈,已经签到的玩家可以填写活动反馈（仅本场活动）,小程序,P1,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动详情页,参与人列表,展示已报名的嘉宾与玩家、支持搜索、支持分享名单,小程序,P0,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动详情页,心动列表,给出心动和被点心动的人展示列表,小程序,P1,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动详情页,活动支付,付费活动需要唤起微信支付流程,小程序,P2,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
活动,活动签到,"扫描活动二维码签到成功, 未报名的情况下先报名",小程序,P0,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm,活动
我的,基础信息,头像、姓名、等级、一句话介绍、行业身份、职业身份、MIP城市归属、勋章,小程序,P0,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk,我的
我的,我的名片,基础信息、名片样式、分享与保存,小程序,P1,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk,我的
我的,我的活动,参加过的活动列表,小程序,P0,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk,我的
我的档案,合作卡,6款合作卡的增删改查、AI助手（AI录音填充内容）,小程序,P1,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk,我的
用户帐号,帐号设置,更换绑定的手机号、退出登录,小程序,P1,未开始,,,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4972&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WlENWicZhLk,我的
